Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
unix  3      [ ]         SEQPACKET  CONNECTED     41395    
unix  3      [ ]         SEQPACKET  CONNECTED     397264   
unix  3      [ ]         SEQPACKET  CONNECTED     27554    
unix  2      [ ]         DGRAM      CONNECTED     608231   
unix  3      [ ]         SEQPACKET  CONNECTED     363110   
unix  3      [ ]         STREAM     CONNECTED     355454   
unix  2      [ ]         DGRAM      CONNECTED     355449   
unix  3      [ ]         SEQPACKET  CONNECTED     348648   
unix  2      [ ]         DGRAM      CONNECTED     351342   
unix  2      [ ]         DGRAM      CONNECTED     541747   
unix  2      [ ]         DGRAM      CONNECTED     50072    
unix  3      [ ]         SEQPACKET  CONNECTED     314282   
unix  2      [ ]         DGRAM      CONNECTED     44110    
unix  3      [ ]         SEQPACKET  CONNECTED     477821   
unix  3      [ ]         SEQPACKET  CONNECTED     357513   
unix  2      [ ]         DGRAM      CONNECTED     478046   
unix  3      [ ]         SEQPACKET  CONNECTED     345733   
unix  3      [ ]         SEQPACKET  CONNECTED     42125    
unix  3      [ ]         SEQPACKET  CONNECTED     31978    
unix  2      [ ]         DGRAM      CONNECTED     478507   
unix  3      [ ]         SEQPACKET  CONNECTED     466619   
unix  2      [ ]         DGRAM      CONNECTED     355517   
unix  3      [ ]         SEQPACKET  CONNECTED     52300    
unix  2      [ ]         DGRAM                    40967    /data/vendor/wifi/wpa/sockets/wlan0
unix  3      [ ]         SEQPACKET  CONNECTED     352461   
unix  2      [ ]         DGRAM      CONNECTED     44501    
unix  2      [ ]         DGRAM      CONNECTED     49141    
unix  3      [ ]         SEQPACKET  CONNECTED     40660    
unix  2      [ ]         DGRAM      CONNECTED     19501    
unix  3      [ ]         STREAM     CONNECTED     426437   
unix  3      [ ]         SEQPACKET  CONNECTED     42126    
unix  2      [ ]         DGRAM      CONNECTED     39374    
unix  91     [ ]         DGRAM      CONNECTED     21776    /dev/socket/statsdw
unix  2      [ ]         DGRAM      CONNECTED     256334   
unix  3      [ ]         SEQPACKET  CONNECTED     38807    
unix  3      [ ]         SEQPACKET  CONNECTED     353663   
unix  3      [ ]         SEQPACKET  CONNECTED     249130   
unix  2      [ ]         DGRAM      CONNECTED     34356    
unix  3      [ ]         STREAM     CONNECTED     39671    
unix  2      [ ]         STREAM                   21785    /dev/socket/mdns
unix  3      [ ]         STREAM     CONNECTED     403839   
unix  3      [ ]         SEQPACKET  CONNECTED     101847   
unix  3      [ ]         SEQPACKET  CONNECTED     12025    
unix  3      [ ]         SEQPACKET  CONNECTED     52299    
unix  3      [ ]         SEQPACKET  CONNECTED     41333    
unix  3      [ ]         SEQPACKET  CONNECTED     397282   
unix  2      [ ]         DGRAM      CONNECTED     29794    
unix  3      [ ]         STREAM     CONNECTED     400932   
unix  2      [ ]         DGRAM      CONNECTED     351547   
unix  3      [ ]         SEQPACKET  CONNECTED     274939   
unix  2      [ ]         DGRAM      CONNECTED     44541    
unix  2      [ ]         DGRAM      CONNECTED     21408    
unix  2      [ ]         DGRAM      CONNECTED     24368    
unix  2      [ ]         DGRAM      CONNECTED     198      
unix  2      [ ]         DGRAM      CONNECTED     429227   
unix  3      [ ]         SEQPACKET  CONNECTED     324819   
unix  2      [ ]         DGRAM      CONNECTED     76429    
unix  2      [ ]         DGRAM      CONNECTED     44485    
unix  2      [ ]         DGRAM      CONNECTED     21859    
unix  3      [ ]         SEQPACKET  CONNECTED     556701   
unix  3      [ ]         SEQPACKET  CONNECTED     28385    
unix  3      [ ]         STREAM     CONNECTED     590527   
unix  3      [ ]         SEQPACKET  CONNECTED     475342   
unix  3      [ ]         SEQPACKET  CONNECTED     357568   
unix  3      [ ]         SEQPACKET  CONNECTED     29092    
unix  2      [ ]         DGRAM      CONNECTED     400457   
unix  3      [ ]         STREAM     CONNECTED     356465   
unix  2      [ ]         DGRAM      CONNECTED     25421    
unix  3      [ ]         SEQPACKET  CONNECTED     327670   
unix  3      [ ]         SEQPACKET  CONNECTED     49074    
unix  3      [ ]         SEQPACKET  CONNECTED     42124    
unix  2      [ ]         DGRAM      CONNECTED     39678    
unix  2      [ ]         STREAM                   20763    /dev/socket/thermal_hal_socket
unix  3      [ ]         SEQPACKET  CONNECTED     31168    
unix  2      [ ]         DGRAM                    21415    
unix  3      [ ]         STREAM     CONNECTED     353315   
unix  3      [ ]         SEQPACKET  CONNECTED     44909    
unix  2      [ ]         DGRAM      CONNECTED     22035    
unix  2      [ ]         DGRAM      CONNECTED     535729   
unix  2      [ ]         DGRAM      CONNECTED     514049   
unix  3      [ ]         SEQPACKET  CONNECTED     38673    
unix  2      [ ]         DGRAM                    156      
unix  3      [ ]         SEQPACKET  CONNECTED     53430    
unix  3      [ ]         SEQPACKET  CONNECTED     34655    
unix  3      [ ]         STREAM     CONNECTED     622394   
unix  2      [ ]         DGRAM      CONNECTED     477325   
unix  3      [ ]         SEQPACKET  CONNECTED     288161   
unix  3      [ ]         STREAM     CONNECTED     430190   
unix  2      [ ]         DGRAM      CONNECTED     425308   
unix  3      [ ]         STREAM     CONNECTED     334413   
unix  3      [ ]         SEQPACKET  CONNECTED     356128   
unix  3      [ ]         STREAM     CONNECTED     55738    /dev/socket/traced_producer
unix  3      [ ]         SEQPACKET  CONNECTED     42160    
unix  3      [ ]         SEQPACKET  CONNECTED     41377    
unix  3      [ ]         SEQPACKET  CONNECTED     400473   
unix  3      [ ]         SEQPACKET  CONNECTED     352499   
unix  3      [ ]         STREAM     CONNECTED     31966    /dev/socket/zygote_secondary
unix  2      [ ]         DGRAM      CONNECTED     28879    
unix  2      [ ]         DGRAM      CONNECTED     31258    
unix  2      [ ]         DGRAM      CONNECTED     30229    
unix  2      [ ]         DGRAM      CONNECTED     355078   
unix  3      [ ]         SEQPACKET  CONNECTED     324820   
unix  3      [ ]         SEQPACKET  CONNECTED     274940   
unix  3      [ ]         SEQPACKET  CONNECTED     39409    
unix  3      [ ]         SEQPACKET  CONNECTED     561476   
unix  3      [ ]         SEQPACKET  CONNECTED     399788   
unix  3      [ ]         SEQPACKET  CONNECTED     42105    
unix  3      [ ]         STREAM     CONNECTED     414442   
unix  3      [ ]         SEQPACKET  CONNECTED     53431    
unix  3      [ ]         STREAM     CONNECTED     26140    /dev/socket/traced_producer
unix  3      [ ]         SEQPACKET  CONNECTED     357569   
unix  3      [ ]         STREAM     CONNECTED     334415   /dev/socket/traced_producer
unix  3      [ ]         SEQPACKET  CONNECTED     276841   
unix  2      [ ]         STREAM                   25326    /dev/socket/mnld
unix  2      [ ]         DGRAM      CONNECTED     41039    
unix  3      [ ]         SEQPACKET  CONNECTED     32003    
unix  2      [ ]         STREAM                   24145    /dev/socket/lbs_dbg_ext
unix  2      [ ]         DGRAM      CONNECTED     405951   
unix  2      [ ]         DGRAM      CONNECTED     323228   
unix  3      [ ]         SEQPACKET  CONNECTED     39408    
unix  2      [ ]         STREAM                   24188    /dev/socket/miui_booster
unix  2      [ ]         DGRAM      CONNECTED     25013    
unix  2      [ ]         DGRAM      CONNECTED     21999    
unix  3      [ ]         SEQPACKET  CONNECTED     348855   
unix  3      [ ]         SEQPACKET  CONNECTED     27555    
unix  3      [ ]         STREAM     CONNECTED     398235   
unix  3      [ ]         SEQPACKET  CONNECTED     312725   
unix  2      [ ]         DGRAM      CONNECTED     99052    
unix  2      [ ]         DGRAM      CONNECTED     29387    
unix  2      [ ]         STREAM                   21285    /dev/socket/agpsd
unix  3      [ ]         STREAM     CONNECTED     407401   
unix  3      [ ]         SEQPACKET  CONNECTED     479521   
unix  3      [ ]         STREAM     CONNECTED     415135   
unix  3      [ ]         STREAM     CONNECTED     414441   
unix  3      [ ]         SEQPACKET  CONNECTED     56742    
unix  3      [ ]         SEQPACKET  CONNECTED     373925   
unix  3      [ ]         SEQPACKET  CONNECTED     39898    
unix  2      [ ]         DGRAM      CONNECTED     357506   
unix  3      [ ]         SEQPACKET  CONNECTED     478220   
unix  3      [ ]         SEQPACKET  CONNECTED     475343   
unix  3      [ ]         SEQPACKET  CONNECTED     399784   
unix  2      [ ]         DGRAM      CONNECTED     508888   
unix  3      [ ]         SEQPACKET  CONNECTED     509904   
unix  2      [ ]         DGRAM      CONNECTED     362882   
unix  2      [ ]         DGRAM      CONNECTED     477634   
unix  3      [ ]         SEQPACKET  CONNECTED     70408    /dev/socket/audio_hw_socket
unix  3      [ ]         SEQPACKET  CONNECTED     41396    
unix  3      [ ]         SEQPACKET  CONNECTED     561477   
unix  2      [ ]         DGRAM      CONNECTED     404352   
unix  3      [ ]         STREAM     CONNECTED     407278   
unix  3      [ ]         SEQPACKET  CONNECTED     373924   
unix  3      [ ]         SEQPACKET  CONNECTED     314240   
unix  3      [ ]         SEQPACKET  CONNECTED     42104    
unix  2      [ ]         DGRAM      CONNECTED     25588    
unix  2      [ ]         DGRAM      CONNECTED     13865    
unix  2      [ ]         DGRAM      CONNECTED     46517    
unix  3      [ ]         SEQPACKET  CONNECTED     40661    
unix  2      [ ]         DGRAM      CONNECTED     25674    
